Medina, 0.01, 1/3/2000, ip4
Medina, 0.02, 1/4/2004, ip4
Langley, 0.01, 1/3/2008, ip4
Bauer, 0.17, 10/11/2011, ip4
Kühlwind, 0.25, 25/4/2012, ip4
Kühlwind, 0.29, 13/8/2012, ip4
Trammel, 0.56, 15/3/2015, ip4
McQuistin, 0.82, 5/5/2016, ip4
Measured, 0.81, 1/1/2021, ip4
Kühlwind, 0.47, 1/1/2012, ip6
Kühlwind, 0.65, 1/1/2014, ip6
Kühlwind, 0.76, 1/1/2015, ip6
Kühlwind, 0.95, 1/1/2016, ip6
Measured, 0.96, 1/1/2021, ip6
